cell_type,cell_id,model,seed,hof,decay_time_constant_after_stim,sag_amplitude,steady_state_voltage,steady_state_voltage_stimend,voltage_base,AHP1_depth_from_peak,AHP_depth,AHP_time_from_peak,AP1_peak,AP1_width,Spikecount,decay_time_constant_after_stim,depol_block,inv_first_ISI,mean_AP_amplitude,steady_state_voltage,steady_state_voltage_stimend,time_to_first_spike,voltage_base,slope,intercept
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_0.json,1.0,0.0,11.243611055855094,1.5584073506212803,-75.2355868919565,-81.53135811525684,-75.33548755576187,82.45390959867952,6.604909075839018,2.900000000168802,16.177633305119958,0.4819649541119287,30.0,2.3500743168675315,1.0,133.3333333255723,70.59713938250046,-78.74577020929637,-70.8742638298152,21.400000030349474,-75.34012547706944,998.0308447829581,0.06290799901858876
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_1.json,1.0,1.0,4.534977330454151,1.6085610572182816,-73.93271232402023,-80.35400925984563,-74.06835071390503,91.09665106732454,5.303427393494609,3.90000000022701,27.5327529885322,0.5479323684846145,48.0,12.741233227433755,1.0,181.81818180759862,88.29248323283697,-78.37835091626145,-62.787321190839606,7.600000029546209,-74.1281999367467,940.4751245132985,0.05750786097196385
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_10.json,1.0,10.0,6.473855409150679,1.4273556374736671,-74.08137596689072,-80.17972755298196,-74.19017963579357,91.4872834519535,3.4115772486434395,3.500000000203727,23.618550081433114,0.5934514491178652,43.0,3.2072526735109057,1.0,116.27906976067352,80.141445822479,-78.02509045804086,-63.91435424781559,11.70000002978486,-74.21839024341948,1054.7384056141382,0.05949587601286843
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_11.json,1.0,11.0,3.690644687582066,1.7922174508797184,-71.12962343679835,-77.57907376457202,-71.24834293492684,72.40745375055218,4.999448902160431,4.400000000256114,10.485766902270843,0.44049733721243167,32.0,5.330897543881122,1.0,144.92753622344816,63.38502452246208,-74.90026659522022,-62.473417459677854,7.400000029534567,-71.25848124596335,968.809270592752,0.06215867087543763
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_12.json,1.0,12.0,5.59972881777392,1.6836905342033788,-74.16860275666656,-81.23375399158218,-74.2827599795327,87.95216947228872,6.838364959489738,4.400000000256114,25.09701416663175,0.4911885518336513,35.0,220.7878394211176,1.0,172.41379309341247,85.32086370750272,-77.80292420813574,-64.5471754664219,8.500000029598596,-75.10082024268866,1040.3574548513088,0.06750539315615706
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_13.json,1.0,13.0,5.73530123326773,1.7516511545919826,-73.42999479337307,-79.78149598319406,-73.56848332825749,75.63944622755044,6.787048796832934,4.000000000232831,12.695483977235673,0.4839665253371845,47.0,3.5441494913401517,1.0,140.84507041433696,70.2087316357897,-78.12451907482908,-61.285587451687675,11.200000029755756,-73.71784010819825,841.6152519643041,0.060137836378413564
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_14.json,1.0,14.0,6.505568139624583,1.4896740706724216,-73.89159915462915,-80.60986873992957,-74.01251867459193,101.5221403057012,-0.17536637877677208,2.500000000145519,29.182940278257515,0.4977686903895986,39.0,12.291123014860796,1.0,107.52688171417122,85.78495154602751,-78.47845401746908,-65.68975639798879,8.500000029598596,-74.05526317887424,1048.3352449000877,0.06071853053127671
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_15.json,1.0,15.0,7.5752860805429165,1.5789058254477624,-71.24249845509613,-78.31524176973602,-71.3420214885882,64.59874668103446,7.139091340312547,2.7000000001571607,0.5723156636749958,0.4823592411374275,31.0,3.289393318495753,1.0,135.13513512726922,51.709470958222475,-74.75893765307815,-64.19158847764328,11.80000002979068,-71.69178070498631,644.5412419587205,0.041805400632085724
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_16.json,1.0,16.0,7.530308120765312,1.8776777652034013,-74.63618551643458,-81.00055066357143,-74.77383813585257,74.09473062790958,6.8948354487595935,3.500000000203727,10.968193643545456,0.5050717265110171,27.0,3.4211601239583027,1.0,156.24999999090505,69.1140886450123,-76.97162755609327,-72.19269770256,15.300000029994408,-74.84479262888208,611.1506239642424,0.02830324283351952
PVALB,643397120,PVALB__643397120_stage_1_seed_1_hof_17.json,1.0,17.0,10.036457852805189,1.4493628042064728,-70.66655199216018,-79.77084370562213,-70.79991965927445,84.19235702075346,7.7815685211464185,5.5500000003230525,19.152875462723156,0.5005031612178528,38.0,4.1404390863302805,1.0,92.592592587203,75.7550921673813,-77.65627020978145,-63.58195314061302,14.500000029947842,-76.88043436067257,628.0028488977943,0.03700626340820672
