cell_type,cell_id,model,seed,hof,decay_time_constant_after_stim,sag_amplitude,steady_state_voltage,steady_state_voltage_stimend,voltage_base,AHP1_depth_from_peak,AHP_depth,AHP_time_from_peak,AP1_peak,AP1_width,Spikecount,decay_time_constant_after_stim,depol_block,inv_first_ISI,mean_AP_amplitude,steady_state_voltage,steady_state_voltage_stimend,time_to_first_spike,voltage_base,slope,intercept
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_0.json,1,0,43.94337783814196,0.7819269002384601,-68.73371043765705,-79.07531772238026,-67.50106356939123,96.27629777724492,9.84757308084891,5.1500000002997695,37.10647494272348,0.9374748295269909,10.0,40.954967539043935,1.0,14.880952380086196,79.15103023520386,-67.45988443978558,-52.58915997836513,112.60000003565801,-67.50909096827894,249.5294899495653,0.06157232093203753
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_1.json,1,1,39.86489009503219,0.9412165389591536,-69.21673173744863,-82.05547397176304,-67.68847814253004,100.36130616211157,37.373752399852556,2.2500000001309672,31.903376842711793,1.2072077868070366,10.0,663.6323562059492,0.0,9.596928982166913,67.78601697539447,-60.16157129675821,-54.95219217776165,93.50000003454625,-67.6585920733968,283.91413236473863,0.05148898196832789
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_10.json,1,10,45.39022744615431,0.8135367287220134,-69.84233080381712,-82.5569666845619,-67.99321166862747,109.78320281446138,-0.8124138471646063,5.700000000331784,38.700525622699004,0.9806460578158449,10.0,56.81884898679402,1.0,10.050251255696406,81.26762380810223,-64.69870053573318,-57.03926691504671,94.10000003458117,-67.96656148543815,237.93767168498232,0.053616286537209026
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_11.json,1,11,51.46206287209356,0.5976863747248871,-74.01925255855845,-88.90080017246619,-70.53377046228796,109.57911128087207,1.802905803140014,4.250000000247383,39.46563654173399,0.9220494843335584,10.0,52.19621833519602,1.0,9.293680296856806,83.6409603257687,-68.77637718923802,-58.245254342973425,104.20000003516907,-70.51118031546288,242.1522542321939,0.057446674616264286
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_12.json,1,12,61.63264240350611,0.49666568263118904,-72.55979083751915,-87.68298333622751,-68.47129044976522,107.2822794959977,0.33900293598763653,3.000000000174623,38.5547281713563,0.8754015233381054,9.0,36.924248110433446,1.0,11.248593925104526,82.86347870546899,-67.00499313158939,-55.48513061514584,99.50000003489549,-68.42925958732825,197.2252083941621,0.04994176864863566
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_13.json,1,13,39.8039304433408,1.366212087070167,-71.32779531546076,-84.68722031536913,-69.74615603599308,110.11452827819714,-0.9933703219824181,3.1000000001804437,38.30148788949343,0.8587249246152941,12.0,48.23289660633394,1.0,11.520737326518345,81.25141311269515,-67.77467824885973,-56.50649080113934,100.40000003494788,-69.73720998747925,280.728156974457,0.05864155123802892
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_14.json,1,14,42.35648846784131,1.637242193562784,-71.94427390045054,-86.25234109930943,-70.2916643487748,115.58988600241557,-6.1377035293847655,2.500000000145519,38.70245676679152,0.8811808511838705,11.0,9.123493835312113,1.0,10.438413360561507,83.54101188291287,-69.71130059415745,-57.76425266787057,93.60000003455207,-70.28607360688378,265.5117447059624,0.056836421103073784
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_15.json,1,15,43.92940369427971,0.9479339135547349,-72.13719565119297,-84.81545002382327,-70.29365870204171,103.25222491845372,5.996941628110918,4.300000000250293,37.047783632668946,0.9534231446828825,9.0,45.36449782491144,1.0,11.312217193911678,80.92558367069078,-67.79168016892605,-54.95620873596452,126.5000000364671,-70.33035105319496,238.48522713043204,0.06040526933523476
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_16.json,1,16,43.208626156759266,1.0864259048843934,-68.5175757599409,-80.76703029191893,-67.08816159490384,94.41195967526586,4.606936720766161,3.6000000002095476,31.66193628543921,0.8828470754636227,10.0,33.328950663872725,1.0,23.64066193715821,72.78263982029634,-67.32615863401186,-53.48483615147875,89.20000003429595,-67.09106161881535,228.1261126316816,0.05094554620383644
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_17.json,1,17,37.82437470261486,0.9025572092013334,-65.90089895029055,-75.96712950678294,-65.02085396620299,97.20099892498067,-3.796453231682065,3.1000000001804437,27.597893035786182,0.8875776657260095,11.0,13.775437191402167,1.0,11.223344556024605,70.02845814033769,-65.85231982197935,-54.51206321683667,89.9000000343367,-65.10234143792815,257.5322190880005,0.05777885681707544
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_18.json,1,18,40.81293988631736,0.6376919459838035,-67.6897767459441,-77.50426964515303,-66.62572758801232,110.67532198227404,-0.826815829028618,5.900000000343425,41.23134220520777,0.9903244704719376,9.0,46.20204336741528,1.0,8.904719500817386,84.56003290639245,-65.4687676782656,-57.453392988958505,96.70000003473251,-66.60751511919004,205.2743316851266,0.052342176371584594
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_19.json,1,19,37.93231093674648,0.7397903334516513,-67.29085988301529,-77.89617534723811,-66.19645857641622,114.5524171187295,-7.402599367087163,3.2000000001862645,40.28937354147275,0.9137384977260794,11.0,3.8853562119809246,1.0,10.277492291282552,84.13084855940535,-65.73915419579724,-56.690761941545595,90.9000000343949,-66.17991789580131,256.74951719576165,0.0586212696770131
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_2.json,1,2,35.56374949958012,1.3697744178642068,-70.81136734209238,-81.78404276635396,-70.0493489516288,114.70984940248117,4.77438290291191,5.20000000030268,45.83272677533235,1.028154512768008,11.0,24.883833536977132,1.0,9.871668311370112,91.11738951963865,-68.67450552880503,-56.556800928314246,89.30000003430177,-70.04246583948004,252.3208421526665,0.05757142626672323
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_3.json,1,3,41.397993103215,0.9859403284579287,-69.93630054894855,-82.3973667447493,-68.34969487910789,67.53869089856641,41.41059927130587,2.0000000001164153,38.36795115361689,0.6892094755701524,7.0,8.318523347339442,1.0,7.30460189877131,81.3622144227521,-69.00614975537209,-47.32597732945578,90.20000003435416,-68.33372736231172,202.87440623990588,0.04765829036615003
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_4.json,1,4,48.41228597859027,1.464801902301005,-70.83156181587592,-84.78958027958373,-68.90576574733079,97.01605064053388,4.805181821126688,4.200000000244472,31.59968504618093,0.9377300711586142,10.0,49.024969659684416,1.0,11.299435027590874,74.46845203784625,-66.42639258533605,-54.84939479061471,97.30000003476744,-68.89471366203325,254.3307312485919,0.05974730408853251
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_5.json,1,5,46.480763013230394,0.7891977277638915,-68.4160483887175,-78.95326606429826,-67.06086833850976,88.23713731487818,10.646491588575401,6.100000000355067,29.712697797288875,0.9254484351598575,9.0,44.71438304187015,1.0,13.157894736076216,71.08552046290983,-66.68987791414865,-52.26411003319588,109.2000000354601,-67.05659717062531,205.25160063229484,0.05062752270195353
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_6.json,1,6,56.173887658325505,0.9503190204548844,-72.9607100814307,-88.16891132711741,-69.38257190304185,113.86456164633944,-1.1613848315405733,3.7000000002153683,41.710646337756295,0.9099053538317096,10.0,49.26023149796838,1.0,10.111223457449872,86.12636245103413,-65.3604435857864,-57.146977500736504,96.90000003474415,-69.32925698653816,252.58407242846374,0.0570542806397663
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_7.json,1,7,37.67154550327223,1.1907611458826892,-72.10917347424335,-83.43244834500805,-71.02766326343281,110.17692297745396,2.5133639227908304,4.9000000002852175,39.65064414995929,0.9606173949511521,10.0,45.67332476675546,1.0,10.141987829024263,83.73649846059828,-69.0850408494667,-58.87234939670319,94.10000003458117,-71.02237791091814,238.84963641917687,0.05719795446802898
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_8.json,1,8,40.73014309071066,0.8022390947282361,-66.78610594759562,-77.89417255071241,-65.45043214271755,86.51914488975517,5.78342999693324,5.100000000296859,24.90164222088651,0.9293206706492618,10.0,41.123135101744126,1.0,9.699321046962098,67.07014362065672,-64.11764620180954,-53.314422975975646,103.70000003513996,-65.42254341101726,242.5898727283957,0.05972125062166063
ITL6,770268110,ITL6__770268110_stage_1_seed_1_hof_9.json,1,9,43.206739443183366,0.6178914526414161,-71.23510765263094,-82.52908512281455,-69.6039818637029,110.55029366970498,3.769024719705044,3.800000000221189,43.65756678066585,0.9307250161958327,9.0,42.82857963332764,1.0,10.030090270228609,87.63572358331213,-67.73666561739078,-56.19610889788785,117.70000003595487,-69.5990241337929,223.0501806812492,0.058254030980838395
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_0.json,1,0,12.524642318932921,2.159536741097412,-84.45635691837288,-97.17651731552989,-84.30627795741512,81.17643797465081,26.48895778232597,5.100000000296859,26.492612740513206,0.9248597688549282,10.0,13.550024344986408,1.0,73.5294117604259,65.06177050102087,-87.22435582836965,-52.622232859151644,32.100000030972296,-84.94747869372561,180.34079276347393,0.10518967785290669
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_1.json,1,1,10.387711012614917,3.1779050018023014,-83.10287177966838,-95.79042685785754,-83.4397622402236,93.05162810879148,20.711911528760044,4.000000000232831,31.404107947353733,0.9335924337739269,14.0,12.119244316528897,1.0,55.865921784457676,69.63798799891504,-86.41932434049112,-52.58423816797482,25.800000030605588,-83.70272461094562,271.2403491380285,0.10239775465501594
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_10.json,1,10,16.829471341221716,3.062580278739489,-89.61167842314671,-106.72122176376209,-89.68631303117421,94.83780533340493,25.042436022927063,4.700000000273576,35.086821926580136,0.9545092937438804,5.0,13.884223365620567,1.0,57.47126436447083,76.8385346847175,-92.80721327768298,-61.46728267508057,33.400000031047966,-90.03280681281218,119.99999999999999,0.08916188011025514
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_11.json,1,11,11.305993535852359,2.4254973310192014,-88.86464588144712,-102.09500341488369,-88.96841425972374,121.46213346392473,14.615142555687854,3.6000000002095476,43.51337409430177,1.0213180187267739,13.0,14.92702766707706,1.0,29.67359050272381,85.22788995721496,-91.77913183861973,-56.12281237809879,28.900000030786032,-89.44401110772365,230.01111277831967,0.1012804031442277
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_12.json,1,12,20.63682870802545,0.9384822881960275,-96.58010555471934,-115.88629377610756,-95.70378601202023,94.98491816644436,31.41036867738535,4.100000000238651,30.26500879241226,1.011081510900807,9.0,18.898852506098187,1.0,45.66210045396312,70.42088740398809,-96.22356255365463,-54.147474166662676,41.60000003152527,-96.13027805141745,143.62838180234,0.09704477744847698
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_13.json,1,13,13.711537371863068,2.4290210871459124,-81.37912756650682,-96.00959958905094,-81.16457164050553,72.87096662798592,24.57980744464552,4.600000000267755,16.425203154489402,1.0519508940457025,10.0,11.53871761326515,1.0,77.51937984044902,53.18679056184335,-85.70311366624406,-52.12749077379887,26.20000003062887,-82.15775738861795,174.19006317730953,0.10313003166044848
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_14.json,1,14,8.086322223575117,3.502134355612341,-85.13165867494487,-97.23001332882659,-85.51158629426912,80.28712195911673,24.841518868825705,4.150000000241562,21.587028576695783,1.0051475003417911,8.0,11.485685013335324,1.0,68.49315068094468,61.2712436251899,-89.10295967964687,-55.530026252418665,27.20000003068708,-86.19433486435723,145.90935213678864,0.10332188105184974
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_15.json,1,15,12.555594269189157,3.0108686272966736,-91.72025660431925,-107.58802760746761,-91.91815534245293,88.61959076072873,28.52541571445026,4.200000000244472,30.25756975239353,0.9152317826242686,6.0,12.98876722587865,1.0,64.10256409883284,69.62385131151177,-94.84031758353414,-55.84228704865265,32.100000030972296,-92.52612019974445,119.29548505774343,0.10191602679138431
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_16.json,1,16,17.832934191105625,1.2678665399302247,-95.47021103936156,-114.4510400072035,-94.85288883787487,102.62704931301663,26.592629563766003,3.400000000197906,33.88882589184438,1.0222232915100433,8.0,16.0313895307296,1.0,43.29004328752348,75.73268397850453,-96.56101121732799,-55.05938692593245,34.20000003109453,-95.3908905535418,127.64949320294821,0.09292765911611019
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_17.json,1,17,14.700028034364227,3.508648065394226,-84.21018379421218,-100.65935666880071,-84.38251628317762,85.67901764772098,22.49037335717783,5.900000000343425,27.858136390206404,1.036545018620106,6.0,10.594032657074724,1.0,38.75968992022451,70.78330788435547,-88.71964701296821,-59.546306607387265,24.80000003054738,-84.73997249544826,132.03376043811858,0.10145270294336646
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_18.json,1,18,17.97204159723365,0.4959764041244483,-95.32613328238548,-116.99888147577747,-94.23946099896897,105.52049096394666,21.686316204337103,2.4000000001396984,41.17702225883956,0.8685822852703824,9.0,13.259421048083826,1.0,78.74015747573168,83.48576149671541,-95.63768687923081,-56.08612638335609,18.20000003016321,-94.56483939410131,239.9999999999995,0.09816157439117229
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_19.json,1,19,11.422685496606723,2.9107012316337944,-88.78094966468245,-103.03034566553139,-88.97154367318231,92.37871673089664,23.221235252738644,3.6000000002095476,30.842451626762344,1.004730640525722,12.0,13.255843861965284,1.0,84.74576270693156,74.93114151870215,-91.54089689535935,-53.54996472222378,28.80000003078021,-89.27572933708109,208.03006029422434,0.0986556170166454
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_2.json,1,2,12.63421468515757,2.585848172519178,-91.68710477902421,-106.38023761642361,-91.82390409804155,94.78272685274996,27.516937240218354,3.400000000197906,31.973967689370813,0.9672829761597531,11.0,16.530655793545705,1.0,76.33587785815209,73.35674867451537,-93.25910051650884,-53.23183929360824,34.00000003108289,-92.07424283304712,178.18243051932677,0.09994524683274959
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_3.json,1,3,23.738869817847856,1.9085250623559205,-86.22180513989409,-112.18161780507408,-84.71887000031445,76.16677297847538,30.09795869407452,3.400000000197906,14.588937554164302,0.8169020981726065,11.0,12.23462763730957,1.0,50.251256278482025,41.58998128067421,-90.80794262045026,-48.88572120828069,13.700000029901275,-86.06843225449798,199.10796199485299,0.10159764511334808
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_4.json,1,4,10.703266485567076,2.5436532520720903,-86.49899457178768,-98.38020404786579,-86.65132257822665,102.48006645425187,20.344879379691022,3.90000000022701,39.39062083551109,0.9700419036630504,9.0,12.916329914169747,1.0,73.5294117604259,82.29849164674962,-89.42399553246214,-55.071473948272306,33.100000031030504,-87.05365848736407,156.71764687022738,0.09727214124468635
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_5.json,1,5,6.88837119335461,3.6551027832112197,-88.26325076246032,-102.14946264197448,-88.73902843651396,89.15329031494537,25.866601286735524,2.500000000145519,31.484296569974546,0.7868270929521665,9.0,11.408072068417475,1.0,83.3333333284827,71.89868349469276,-91.7494424885563,-52.07744772910236,20.200000030279625,-89.0661524012369,211.60127225206168,0.10446717515999189
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_6.json,1,6,11.148069577994308,2.6784676716778364,-85.9398423330676,-98.61064823571314,-86.06269422462759,86.17708709933595,25.63966603709055,5.050000000293949,28.656965850836695,0.9483249642728837,10.0,13.636046280346243,1.0,58.823529408340725,67.90977323043552,-88.28404894026127,-53.856685866004916,29.80000003083842,-86.30473972647445,201.59527054196266,0.10130535725047021
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_7.json,1,7,23.0901044520394,0.5305229122973856,-97.58028352552348,-120.07665036704618,-96.23520651372519,98.06349070918476,29.007907889416202,4.100000000238651,34.2154807832266,1.0453230815049408,11.0,14.419713323463968,1.0,61.72839505813533,78.20839094637483,-96.67569543095966,-54.533575819754795,35.900000031193485,-96.50320318059063,169.28237357337906,0.09869957240527168
