cell_name,spec_id,cell_type,seed_no,hof_no,Ra_all,cm_basal,cm_somatic,decay_CaDynamics_somatic,e_pas_all,g_pas_all,gamma_CaDynamics_somatic,gbar_Ca_HVA_somatic,gbar_Ca_LVA_somatic,gbar_Ih_basal,gbar_Ih_somatic,gbar_Im_basal,gbar_K_Pst_somatic,gbar_K_Tst_somatic,gbar_Kv3_1_basal,gbar_Kv3_1_somatic,gbar_NaTs2_t_basal,gbar_NaTs2_t_somatic,gbar_Nap_Et2_somatic,gbar_SK_somatic
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,1,129.917394255954,2.49584832496341,1.1625574158599,466.759060837677,-62.6786426841745,2.31614138381677e-05,0.0072779732594321,1.04869780645904e-05,0.00362617014055624,0.000108283262371493,0.000911153942938009,0.000225283562740956,0.0415870436716549,0.947061334340063,0.000668059944475946,0.556734651170769,0.0346960281924255,6.71361211981853,8.81951656768018e-05,0.0998613323395117
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,2,163.520448909685,5.13830878776514,3.03070150908079,494.627768546955,-60.158902208619,3.65548407311962e-05,0.00340347453020909,0.00011881856042383,0.00214331779233909,6.30324388541674e-05,0.00262229772846391,0.00133984919257815,0.00448228554392771,0.42220528173341,4.48093904283865e-05,0.39990995819117,0.0746364823681747,6.89753685961823,0.0015317016279244,0.0596537200035339
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,3,114.682830975798,2.25403862517214,1.0234080821488,476.763440121588,-65.3849782210048,2.52132972719068e-05,0.00453968017903705,8.45704327956689e-05,0.00482684939270163,0.000108283262371493,0.00395597986209928,0.000170637570355597,0.0172743863203357,0.787198771435551,0.000668059944475946,0.634097944583794,0.0346960281924255,5.69943519318346,0.000162206067472627,0.0956827454443466
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,4,129.917394255954,2.49584832496341,1.03130246968158,469.690436574166,-64.1277006781992,2.60301655654275e-05,0.00453968017903705,1.01840501482837e-05,0.00362323949265724,0.000108283262371493,0.000807614795858161,0.000383718835272404,0.0284794201091585,0.795632366483312,0.000668059944475946,0.391632328689351,0.0346960281924255,6.70786512568782,8.81951656768018e-05,0.0972978929796758
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,5,102.210975586547,6.43357318413661,3.51558007922215,923.830032567956,-70.9703689869421,3.87613686415793e-05,0.0151328179226689,1.65179139463955e-05,0.00425801113614581,0.000875473933168408,0.00300296026961279,0.00111845416046591,0.135685007854924,0.285581699314358,0.00310144775142221,0.959447210644,0.0836733371696451,9.72873423583649,0.0139059645498278,0.0149969706262065
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,6,185.170967405281,4.07950065700711,4.12529440394851,677.331375362178,-80.2924858948087,2.30340041363074e-05,0.0128511796921338,4.54341771842212e-06,0.00549340273834792,0.000544820189524022,0.00103648040701722,0.000338354375678598,0.00899600715335113,0.944335376950455,5.7657249330237e-06,0.277276605286152,0.0319065939606064,6.37689254242953,1.64633619351148e-05,0.0178721595230298
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,7,175.167042538602,5.13830878776514,3.03070150908079,418.500962388598,-60.1416388573823,3.5722979538085e-05,0.00340347453020909,0.000119386777852447,0.00214194424285497,6.48776260939289e-05,0.00270776993823651,0.00133984919257815,0.0283038260814668,0.47914024652051,3.1419421727638e-05,0.383425294429272,0.0771325783994488,6.74588836115244,0.0015317016279244,0.0514287164427157
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,8,151.723059490033,6.08556522469865,2.91139083795089,950.089611834515,-60.1745830235069,2.76341222739102e-05,0.00594658081483352,0.00017427938875363,0.00326545043911898,0.00148339101813624,0.00260588659153584,0.000929586509229782,0.00613109947576575,0.570932053281978,0.0170410438590764,0.402480427263953,0.0868903391071944,8.74678937453397,0.00125998767935471,0.0104802903317874
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,9,159.898540595327,4.43391587724882,3.81829423641987,499.289803379461,-60.9597381018221,3.71818232875864e-05,0.00457162840775876,2.59205595384524e-05,0.00215559118322908,9.79683096734091e-05,0.00145702041805705,0.00134131838884788,0.0523359227663272,0.565525366792941,0.00567824824204742,0.398276020578279,0.0731299128558687,5.87735773926333,0.00240316581497307,0.0622560082103864
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,10,170.982240908787,5.13156195177789,5.41191523608174,744.254369615556,-62.8849005265366,2.32018554455124e-05,0.00237209113417058,0.000208744208382115,0.00125644063722114,0.00149239054613653,0.000711057761951227,0.000971675420647455,0.110809213617543,0.550820635684973,0.00189197139009013,0.353768117203449,0.0818792927701596,5.56536457134435,0.000919515540717542,0.0508495438002497
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,11,150.033456509023,3.52317825202305,1.48845719143622,462.03621567836,-62.6786426841745,4.83417469188099e-05,0.0159728111457272,1.72713683579659e-06,0.00141254821214119,0.000141248920420074,0.00138807417037214,0.000335549476207501,0.0415870436716549,0.947061334340063,0.000290899124886929,0.282354760687711,0.0346960281924255,8.09607461336056,3.57096155568374e-05,0.0982311636551284
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,12,129.445417845778,2.49584832496341,2.60602147599602,697.255487595919,-65.2294281306173,2.30843809542164e-05,0.0072779732594321,9.44508039615386e-06,0.00362617014055624,0.000108283262371493,0.000879110385662782,0.000232637688866643,0.0415870436716549,0.838983016888606,0.000668059944475946,0.569135545267075,0.0349318330315891,7.63101428396801,8.81951656768018e-05,0.099159790991388
