cell_name,spec_id,cell_type,seed_no,hof_no,Ra_all,cm_basal,cm_somatic,decay_CaDynamics_somatic,e_pas_all,g_pas_all,gamma_CaDynamics_somatic,gbar_Ca_HVA_somatic,gbar_Ca_LVA_somatic,gbar_Ih_basal,gbar_Ih_somatic,gbar_Im_v2_basal,gbar_K_Pst_somatic,gbar_K_Tst_somatic,gbar_Kv3_1_basal,gbar_Kv3_1_somatic,gbar_NaV_basal,gbar_NaV_somatic,gbar_SK_somatic
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,1,138.208792964216,5.21193802533863,3.08388865726264,784.560849753944,-88.2896868175041,3.00686885178592e-05,0.0029669332030956,9.39287983087104e-05,0.000585208252190601,0.000311087582382704,0.00270856542009756,0.000374652017188116,0.231328810323308,0.417662176625645,0.260406072819468,1.91754289486843,0.0148210877925737,0.231088915894954,0.0422784328276055
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,2,199.239358111655,3.67566652170851,7.38852430403717,100.785455122283,-90.8929090586129,3.91968773150775e-05,0.00293017557051011,0.000852633296674279,0.00156025856487683,0.00047951911486957,0.00148938395908328,3.59276095321067e-05,0.984355511916703,0.398449958089868,0.069590232664889,1.96184277412915,0.00736502857003865,0.140392754850263,0.018767423816746
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,3,149.456102134904,4.62573275092612,5.85213119987047,69.8401979972597,-88.2934014464028,8.30809029718701e-05,0.00253294118714376,0.000238090803719983,0.00580346945876218,0.00103647629259159,0.00159857692754642,0.000569996522313441,0.853398889012628,0.578508348978246,0.0551784704579347,1.63423907971144,0.0119898263336222,0.228120883119329,0.0253821836364072
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,4,157.006493984329,6.04875595334643,6.35159203956979,233.111153348954,-109.217539595568,3.06036825777359e-05,0.000834384116163204,8.91089783824979e-05,0.00980408527280693,0.000906042468092654,0.000350223757584094,1.85859128392789e-05,0.0823507372781657,0.760201495062247,0.128617370556595,1.62599147373483,0.00011403693098055,0.286964238513393,0.045190987868464
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,5,145.481238120127,5.65128381395321,4.2158161000814,354.222239161237,-81.2965826196807,6.31046169522394e-05,0.00524340135629682,0.000225420426829951,0.00133150739888853,0.000505541027436997,0.000255846011390345,3.41168546597686e-05,0.80238218620657,0.859754303936263,0.167468574174938,1.96880115740381,0.00051323863336363,0.268268135620116,0.00336234510626401
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,6,150.599941436249,5.89069072898493,9.76771714504214,213.305124021486,-102.781674458189,6.22819151748624e-05,0.000871472550880409,0.000233252062313204,0.00200152696939386,0.00231891746197962,0.000839322810609421,0.000449367776249362,0.0255615699151482,0.0362602502371241,0.0497225895138767,1.41421120999143,0.00359856999705387,0.283973307427823,0.0884435168029938
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,7,194.65206009809,5.35408218442407,5.66812772576715,169.048890392882,-82.7352691475989,7.56405549411787e-05,0.00124120074733676,0.000621505548173338,0.000397274099573071,0.000434642259561267,1.12263514976994e-05,1.69060805976919e-06,0.22601932026316,0.699570546151143,0.187002727627754,1.56933392648775,0.0277675530586265,0.105212405367137,0.0351915305995107
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,8,153.991390619436,5.87776639481028,5.89514072265668,72.6053522863916,-83.7291502642012,5.66695943691711e-05,0.00225290985272822,0.000153298006110385,0.00991676244768892,0.000162554291050892,0.0031414479243072,0.00116688358111564,0.198335592635975,0.884941988930568,0.0397550266105247,1.997477574017,0.000152123603915668,0.268428742111301,0.0625034400364128
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,9,190.428685319948,5.79364848208311,7.69818994047964,50.7039047686198,-60.2769362762221,4.54157100634687e-05,0.0168622081805853,2.19643753435795e-05,0.00377151527786298,0.000786174142622707,0.00272627057198111,0.000250999159925459,0.749757860077378,0.670132529203325,0.334955431764449,1.84842888459022,0.00264101031848674,0.161990174980933,0.00649219708381819
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,10,89.416487924481,4.20051394593635,6.80469922940859,98.8995491597995,-82.1326604603319,4.70698370032186e-05,0.00240924331985078,0.000207267524128445,0.000169314177086241,0.000254377329898265,0.000880238052490785,0.000319119512935607,0.0218732833479746,0.208036274949439,0.270603326595487,1.99428351444982,0.0144517736220154,0.309141378240441,0.0576929341798062
