cell_name,spec_id,cell_type,seed_no,hof_no,AHP1_depth_from_peak,AHP_depth,AHP_time_from_peak,AP1_peak,AP1_width,Spikecount,decay_time_constant_after_stim,depol_block,inv_first_ISI,mean_AP_amplitude,sag_amplitude,steady_state_voltage,steady_state_voltage_stimend,time_to_first_spike,voltage_base
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,1,100.326659426944,3.68516664490966,2.39166666666449,36.366031661076,0.782501867527714,1.6,26.4919906492501,1,37.1303763441198,79.7534950700104,0.251610605526054,-64.2020902602385,-58.8907598853673,73.5500000001009,-68.513749852899
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,2,90.5186278173271,8.96087337226903,6.14999999999441,35.78949895504,0.762188522291763,1.4,26.3985457657021,1,41.1904026362232,79.4464946008502,0.00486273470882281,-61.9585683937652,-57.8572675655743,119.775000000059,-65.9746907492742
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,3,94.1373647314807,5.78855064083853,2.27499999999793,31.6184246116475,0.759993670834229,1,25.1338134242805,1,21.2765957447002,75.3623990907552,0.443061534349113,-64.0490899417897,-58.4814742250554,102.975000000074,-69.0239609249337
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,4,94.1845214368704,9.00155744516071,2.76499999999749,35.8226095138285,0.80983728291874,2.2,25.9025961330839,1,44.3975249993073,80.2314244169857,0.201497644454406,-63.4179203414811,-57.6224926295544,70.9250000001033,-68.5790110644717
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,5,106.999991494227,0.843901607229933,2.69999999999754,40.7750087386618,0.795305666814756,1.4,26.7886707082159,1,27.65279340085,86.444399554283,0.113209118167163,-65.7905017434629,-62.8006379745951,149.050000000032,-68.2754049887843
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,6,88.6341172051512,15.6400540713444,4.09999999999627,33.779512530731,0.828147582697551,1.2,29.2930276881549,1,21.2280476862134,76.716290059102,0.527600681300171,-65.9107707838292,-60.4878419843972,149.925000000031,-70.7375120970105
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,7,90.3506975465997,9.22974249628922,5.47291666666169,35.6509194615292,0.76948417695825,2.2,24.9315153474869,1,42.606000024613,78.9392683017464,0.00970423527563469,-62.3878079219136,-58.6725503732889,101.300000000076,-65.8864962962471
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,8,93.5973183546811,6.85110368489602,3.53749999999678,37.5735084526791,0.793938096378041,1.2,20.8004906050754,1,19.8019801980378,81.6900244143693,0.0776038093546418,-60.7647188884518,-57.2925967797311,94.0500000000823,-63.8325164772596
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,9,87.4099996738051,13.2646761730146,3.83999999999651,34.7298340138093,0.739550364111442,1.8,24.6016398384598,1,22.3803615986375,77.0830313330463,0.012086656813409,-62.7934803943328,-58.6680414070897,147.575000000034,-66.8471433881206
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,10,80.9579402799587,8.83771249400101,8.47916666665895,29.1410517389498,0.766226468956367,1.6,19.2145803633887,1,39.9224806201913,70.9219768104603,0.121292123556159,-60.9214160623838,-57.3489147590929,93.5250000000827,-63.9581822844617
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,11,96.5971708770626,9.36653092403009,3.82999999999652,40.5890794506238,0.813080837057093,2.4,22.277794909256,1,32.8376632179618,83.9930563943103,0.0911273786207687,-62.1684246201145,-57.6184364894065,72.4500000001019,-65.9478549563282
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,12,103.344080979372,4.02179154739047,2.39999999999782,37.9442722300322,0.799855638430731,1.2,26.9096739543523,1,17.3913043478419,82.0450910518455,0.318863987662965,-65.9353151413126,-60.4105562637232,86.2750000000893,-69.9034855637369
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,13,88.8177035331787,11.7067458910208,3.39999999999691,33.6095907190583,0.749800902590348,1.6,29.6447730869134,1,23.5146830689053,76.6472170538257,0.0108256048182938,-63.7775841470165,-59.466862917899,129.17500000005,-67.7469041599059
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,14,85.7252047095809,6.82371049518238,6.16666666666106,32.1560601307879,0.769828206113148,1.6,17.0492350126229,1,34.1982701264449,73.8851552147789,0.124854992559563,-59.9780692848708,-56.6485335988341,67.5500000001064,-62.3842338723568
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,15,84.3595623090052,6.55287041393709,3.14374999999714,28.216629057793,0.758985522899821,1.6,19.3012370988328,1,21.6400071607033,70.3884488152514,0.109704491080493,-59.5002368967022,-55.6695134167207,102.425000000075,-63.2713571143889
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,16,87.112772086817,10.6681291549006,5.18749999999528,33.4845704602958,0.756676313254457,2.4,27.6974035670668,1,43.0052438040277,76.145545126851,0.0106734575901299,-62.0592018485421,-57.9314863371431,123.925000000055,-66.0850080682736
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,17,91.2440607614017,9.32536162626783,3.33124999999697,35.8094485688526,0.767864090250558,1.6,24.205106373612,1,21.819298805258,78.6745127413227,0.004692936340291,-62.0598083199184,-58.521451889021,179.250000000005,-65.4413027309744
ITL23__541557114_seed_1_Outputs,541557114,ITL23,1,18,86.0978992801717,10.7771722682264,6.13749999999442,31.2017713143322,0.752887891455509,1.6,33.0017771112393,1,38.3522727273076,73.9930016877692,0.00514183480765951,-64.0114640021007,-59.7795701050229,149.725000000032,-67.6550440075312
