cell_name,spec_id,cell_type,seed_no,hof_no,AHP1_depth_from_peak,AHP_depth,AHP_time_from_peak,AP1_peak,AP1_width,Spikecount,decay_time_constant_after_stim,depol_block,inv_first_ISI,mean_AP_amplitude,sag_amplitude,steady_state_voltage,steady_state_voltage_stimend,time_to_first_spike,voltage_base
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,1,83.2710243570917,4.65356764619016,4.069212962962,8.95007067782211,0.495641501306846,7.8,22.0040931102271,1,12.2269062863842,64.6614619083132,5.09550113458162,-76.0204910751629,-72.7133323199508,123.575000000096,-79.1333171763812
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,2,68.7577849569756,6.76645459548629,5.92895833332989,-3.24111807552019,0.69133626315506,7.4,18.4104410702293,1,9.10039868465058,50.1713650459297,5.94677558986872,-75.2036093780542,-71.7576845590536,302.174999999987,-78.6991849795603
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,3,81.3327063289864,4.34263243559572,5.1023237179472,8.73460524108302,0.531408562614824,7.6,15.3313071200071,1,9.29936425983013,63.7576760559663,3.84754644950682,-74.5702260781277,-72.0288215579417,86.7000000000876,-77.1349488147998
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,4,83.4092641794986,5.36995024228078,3.85770833333208,9.78293792700322,0.48580772748743,8.2,24.5838736056944,1,12.1470823429606,65.7362745756727,4.58277916888579,-75.9362702608777,-72.5789163657185,176.675000000108,-79.2922540917611
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,5,85.6938125782312,0.409393486559623,3.60937499999791,8.13359856509438,0.466072089760565,7.2,22.6734723817585,1,7.99660116604527,64.8836477412976,3.68087572847321,-75.4169308328624,-72.8886435474871,262.275000000045,-77.9932139814494
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,6,80.3673952487967,4.67239276662631,4.49690476190404,9.25058509174592,0.605311473781871,7.8,12.5649983205354,1,12.6183659986758,64.4505983391374,3.38859274244872,-73.5804140759511,-71.1296270463099,78.6500000000858,-75.9883809518928
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,7,66.9481553279972,6.44389905244796,8.76349999999535,-5.90051608022475,1.07364445951423,7,22.9889237557178,1,9.02277498725982,47.8694969194378,3.55642569843255,-76.2216493341138,-72.9377919853559,311.775000000017,-79.551586356269
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,8,81.387336370528,4.426175266786,3.36279761904568,6.87406251888278,0.477194102557894,7,25.0480041798958,1,8.17660643797454,63.1940524666512,3.86037091842016,-76.1482726260944,-73.3121226456192,255.175000000056,-79.0789099674138
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,9,64.4986266974747,2.21957244805736,8.83146551723609,-5.86857287613319,0.69692637540471,9.2,14.856705005506,1,9.85749789939934,46.8647845956131,2.64933748266607,-70.4801439822777,-68.3692317625528,213.275000000058,-72.6064250155931
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,10,92.00391955431,-1.22987981469767,3.51378205127998,10.3446592783723,0.586013207880674,7.6,23.7301307397601,1,8.31464434483409,67.39995945049,5.00310976655257,-77.581416939366,-74.7531115313441,200.55000000009,-80.5004610501036
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,11,83.6144875912561,1.2898741128912,4.70532407407109,7.04717993515577,0.479381906301669,8.2,14.3283748291639,1,8.09553270575863,64.2288399381947,3.76133866670995,-74.952191344041,-72.08243773243,241.725000000059,-77.830968158849
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,12,69.1314941414881,0.730707333467705,7.65086538461052,-6.17029169957742,0.926663465400748,8.2,16.2651462186899,1,8.13530025819073,47.0052915464557,4.85873257882066,-74.0309501001805,-72.0519835582734,293.475000000002,-76.0316905066727
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,13,84.253560046326,1.23090624890909,5.43604166666341,7.94524449083009,0.478871356949081,7.4,25.6604308111629,1,7.77539727846832,63.2122229666033,3.71839070836911,-74.874789131498,-72.3213664650057,273.47500000003,-77.5117481541533
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,14,85.9163599218474,-0.0452553941212646,4.22195512820259,8.51055670939541,0.454341132694037,8.2,19.4403258471022,1,8.54857730750047,65.459193388871,3.72793509822263,-75.1470917417413,-73.0112108999741,201.025000000087,-77.3281898716143
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,15,81.8398737913331,4.53381002577938,6.59394841269435,7.39819509109933,0.488582889006576,8.2,23.7442086998593,1,8.73295680402686,64.4020729006519,4.90064891222772,-75.8468253092896,-72.7924754284842,313.25,-79.0083025058587
LAMP5PAX6Other__1001422905_seed_1_Outputs,1001422905,LAMP5PAX6Other,1,16,84.1123105383609,0.488283699195246,3.66306089743373,6.79538014438136,0.500653968853798,7.6,19.9964169610841,1,7.71355285864425,62.6995768403832,3.36152611797868,-75.1189747802654,-72.5180631638785,345.024999999987,-77.7809605028588
