spec_id,cell_name,patched_cell_container,nwb_id,Cortical_layer,broad_class_label,cell_type,Transcriptomic_type,x00_custom_extra_current_mean,x00_custom_extra_current_std,x00_custom_extra_stim_end,x00_custom_extra_stim_start,AHP1_depth_from_peak,AHP2_depth_from_peak,AHP_depth,AHP_depth_abs,AHP_depth_abs_slow,AHP_depth_diff,AHP_depth_from_peak,AHP_slow_time,AHP_time_from_peak,AP1_amp,AP1_begin_voltage,AP1_begin_width,AP1_peak,AP1_width,AP2_AP1_begin_width_diff,AP2_AP1_diff,AP2_AP1_peak_diff,AP2_amp,AP2_begin_voltage,AP2_begin_width,AP2_peak,AP2_width,AP_amplitude,AP_amplitude_change,AP_amplitude_diff,AP_amplitude_from_voltagebase,AP_begin_indices,AP_begin_time,AP_begin_voltage,AP_begin_width,AP_duration,AP_duration_change,AP_duration_half_width,AP_duration_half_width_change,AP_end_indices,AP_fall_indices,AP_fall_rate,AP_fall_rate_change,AP_fall_time,AP_height,AP_peak_downstroke,AP_peak_upstroke,AP_phaseslope,AP_phaseslope_AIS,AP_rise_indices,AP_rise_rate,AP_rise_rate_change,AP_rise_time,AP_width,AP_width_between_threshold,APlast_amp,APlast_width,BAC_maximum_voltage,BAC_width,BPAPAmplitudeLoc1,BPAPAmplitudeLoc2,BPAPHeightLoc1,BPAPHeightLoc2,BPAPatt2,BPAPatt3,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E3,E39,E39_cod,E4,E40,E5,E6,E7,E8,E9,ISI_CV,ISI_log_slope,ISI_log_slope_skip,ISI_semilog_slope,ISI_values,ISIs,Spikecount,Spikecount_stimint,adaptation_index,adaptation_index2,all_ISI_values,amp_drop_first_last,amp_drop_first_second,amp_drop_second_last,burst_ISI_indices,burst_mean_freq,burst_number,check_AISInitiation,current,current_base,decay_time_constant_after_stim,depol_block,depol_block_bool,depolarized_base,doublet_ISI,fast_AHP,fast_AHP_change,initburst_sahp,initburst_sahp_ssse,initburst_sahp_vb,interburst_voltage,inv_fifth_ISI,inv_first_ISI,inv_fourth_ISI,inv_last_ISI,inv_second_ISI,inv_third_ISI,inv_time_to_first_spike,irregularity_index,is_not_stuck,max_amp_difference,maximum_voltage,maximum_voltage_from_voltagebase,mean_AP_amplitude,mean_frequency,min_AHP_indices,min_AHP_values,min_between_peaks_indices,min_between_peaks_values,min_voltage_between_spikes,minimum_voltage,number_initial_spikes,ohmic_input_resistance,ohmic_input_resistance_vb_ssse,peak_indices,peak_time,peak_voltage,sag_amplitude,sag_ratio1,sag_ratio2,sag_time_constant,single_burst_ratio,spike_half_width,spike_width2,steady_state_hyper,steady_state_voltage,steady_state_voltage_stimend,time,time_constant,time_to_first_spike,time_to_last_spike,time_to_second_spike,trace_check,voltage,voltage_after_stim,voltage_base,voltage_deflection,voltage_deflection_begin,voltage_deflection_vb_ssse
839897427,H19.06.351.11.16.01.01,P1S4_190321_002_A01,839897299,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,11.6666666666667,0,1599.97998046875,600,88.2749905850029,86.8065097414587,17.208163132438,-50.4953096112898,-51.4916674265507,-2.49998252508447,88.2749905850029,0.183512857719478,5.50000000000125,77.2282168399232,-39.4485358662101,1.45000000000033,37.7796809737131,0.727601893819845,0.266666666666727,-2.62667724488832,-1.23692152843956,73.9087936654243,-38.1397703241969,1.66666666666705,35.7690233412274,0.850435495387018,77.2282168399232,-0.0349474908754438,-2.62667724488832,105.483153717441,5141.75,714.214993286234,-39.4485358662101,1.45000000000033,1.7500000000004,0.179193899782135,0.675000000000153,0.158730158730159,5159.25,5150.5,-63.5432156527245,-0.133166707329308,1.3250000000003,37.7796809737131,-107.603145175717,276.471739718641,NaN,NaN,5143.75,183.157235271172,-0.269396448382332,0.425000000000097,0.900000000000205,0.900000000000205,75.5176999759756,0.991919903136015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171841128955571,0.22354571124823,0.2025915453832,0.0964919407639942,96.0333333333552,66.8333333333485,6.83333333333333,6.83333333333333,0.0502174032236463,0.0519400466781618,66.8333333333485,-0.0718291395571195,1.23692152843956,-1.30875066799668,NaN,14.5608406068641,1,NaN,NaN,0,21.1649623219766,1,0,-46.8420996787845,66.8333333333485,9.00797783450121,0.422856311386276,-46.575017908196,-4.42633379788045,21.7828867460212,NaN,6.08075943473288,13.8798318180949,6.49295803068755,5.14280356895837,8.95298069185573,7.37154512815428,13.2632084850593,13.5125603864377,1,1.56973580859772,4.20962423774083,71.6177198538379,75.2289606108435,11.2874112840951,5201,-50.4953096112898,7635,-54.9593741889344,-50.3395827605388,-74.2895959055383,0.833333333333333,NaN,NaN,5146,714.639993286234,37.7796809737131,17.6718232127321,0.426073778088148,-255.703899833971,1914.69959629803,0.746168912511961,0.727601893819845,0.649335804784528,-58.5375625595849,-67.2794445576368,-57.2462896639601,NaN,5.84982209583322,114.639993286234,514.676662190636,118.739993286235,0,NaN,-67.75681657048,-67.4080956160971,8.74764873336061,6.77113855119994,10.161805952137
839918826,H19.06.351.11.16.01.03,P1S4_190321_003_A01,839918580,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,-50,0,1599.97998046875,600,85.2910902921585,82.2969050185014,0.0736396380654991,-50.3468647086894,-44.5437555255217,-0.434316212230591,85.2910902921585,0.202380952380952,14.5249999999876,73.0050185530261,-38.0352820676943,1.67499999999896,34.9442255834691,0.786130811970574,0.199999999999932,-6.68653589174488,-1.31485873440181,66.3184826612812,-35.8557229463523,1.8499999999994,33.9250883299195,0.921412285802708,73.0050185530261,-0.0915900855074534,-6.68653589174488,85.364729930224,12247.75,1424.81499328582,-38.0352820676943,1.67499999999896,1.84999999999886,0.135964912280702,0.699999999999562,0.142857142857143,12266.25,12257,-54.5048007183875,-0.142865460676175,1.39999999999912,34.9442255834691,-93.1576041467129,259.931120714595,NaN,NaN,12250,164.055734603783,-0.138801018019874,0.500000000000114,0.999999999999375,0.999999999999375,62.1828349988518,0.946505719532966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.151583534204812,0.11712221947258,0.0899251392134836,0.0127254892184177,25.2000000000057,315.149999999725,9,7.75,0.00497130190420396,0.00555658481123135,315.149999999725,1.25538245806734,1.31485873440181,-0.118952552668947,NaN,32.2126031810085,1,NaN,NaN,0,13.4247475590354,1,0.75,-41.2133723711037,315.149999999725,10.6826949189858,0.41737368119054,NaN,NaN,NaN,NaN,8.53242320818919,12.6050924333424,7.861635220124,6.95447309993266,9.92063492063266,9.50570342205107,36.7061258798719,3.17999999999815,1,1.31485873440181,-28.7878221511557,21.6326821955992,63.9439191723822,8.05496087272382,12397.5,-50.3468647086894,12555.5,-51.8452941041569,-49.0343420206774,-79.0687487128525,1,NaN,NaN,12252.25,1425.26499328582,34.9442255834691,0.368275083561646,0.00953168853823955,-13.5598747263008,39.2107808388425,0.771130104463971,0.786130811970574,0.771988116052853,-74.869067531129,-50.5951561233477,-75.2629697200305,NaN,14.0168936216001,825.264993285821,1226.06499328557,867.289993285676,0,NaN,-49.982489102747,-50.4205043467549,-24.2226903174329,-24.7129774963471,-24.8424653732756
840146916,H19.06.351.11.16.02.06,P2S4_190321_056_A01,840146894,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,25,0,1599.97998046875,600,68.3996230340285,65.9793942431555,22.0748768904072,-42.7046764010233,-41.0208336508115,0.178104659730195,68.3996230340285,0.342720232747187,1.80000000000041,65.5934465022519,-39.8984998692467,1.52500000000035,25.6949466330052,0.64135913330568,0.0500000000000114,-6.06218912304467,-2.24212413114282,59.5312573792072,-36.0784348773448,1.57500000000036,23.4528225018624,0.773501296112478,65.5934465022519,-0.0930718535920627,-6.06218912304467,90.4744999244358,4491.25,649.164993286219,-39.8984998692467,1.52500000000035,1.55000000000035,0.1625,0.625000000000142,0.202380952380952,4506.75,4499.75,-59.0642586538711,-0.172587789892465,1.12500000000026,25.6949466330052,-101.859835712136,236.389510922148,NaN,NaN,4493.5,155.581286320926,-0.231431282764088,0.425000000000097,0.825000000000188,0.825000000000188,63.4995174396276,0.921827744392717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.536537756227151,0.618704251771878,0.532767476489659,0.0962182203759003,16.6000000000038,33.3750000000076,11.6666666666667,11.6666666666667,0.0509169539773064,0.0518199579116577,33.3750000000076,-2.20638358843741,2.24212413114282,-5.93134362610697,NaN,24.5722037948736,1,NaN,NaN,0,15.8037531457019,1,0,-39.424950825573,33.3750000000076,2.80617653177664,1.78084033163206,-41.8520762202237,-0.901126861471665,22.8985405310286,NaN,22.3702326850164,52.7296815708011,24.3707068045344,6.93904288962927,33.8638600094049,28.1440181134099,23.9100389206465,6.01086480568723,1,2.24212413114282,-1.53954049110824,63.4034629474806,62.7214128216956,20.2433062933886,4513.5,-42.7046764010233,4600,-43.5999939559612,-43.5999939559612,-69.8645930181713,2.5,NaN,NaN,4495.5,649.589993286219,25.6949466330052,1.19127948270469,0.0402303148922572,30.3192234876039,94.5398256070942,0.318526895910917,0.64135913330568,0.660101536182282,-49.0430497780309,-65.5062665380621,-53.5628489423921,NaN,2.63876265628815,49.5899932862191,514.093328857287,82.9649932862267,0,NaN,-65.5978619341786,-64.9430034385888,13.8432102879049,12.9548451603758,11.3801544961967
653907140,H17.03.016.11.15.07,P8S4_171219_359_A01,653907127,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,-45,0,2019.97998046875,1020,78.4151700612849,79.9211401919,10.4623697406254,-49.7733064970882,-54.1977197655251,-3.226391005999,78.4151700612849,0.253789534496743,2.79999999999745,70.3770388751262,-42.8762242872158,1.6499999999985,28.6418635641967,0.800923652637964,0.124999999999886,-7.50142262454528,-1.72042087538391,62.8756162505809,-41.2801762291263,1.77499999999839,26.9214426888128,0.933586888869679,70.3770388751262,-0.106589062916606,-7.50142262454528,88.8775398019103,16383.25,1838.36499328556,-42.8762242872158,1.6499999999985,1.84999999999832,0.0818713450292398,0.749999999999318,0.133928571428571,16401.75,16392.75,-51.7363295939895,-0.0769920646651219,1.44999999999868,28.6418635641967,-81.1341489955328,267.597840983506,NaN,NaN,16385.25,178.795219628694,-0.189102970804697,0.399999999999636,0.974999999999113,0.974999999999113,58.3419444115218,1.04117224484679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206600726306646,0.141125120935831,0.131636000149591,0.0102373183183957,83.9666666665903,35.9499999999673,16.25,14.25,0.00547501271173831,0.00675756981125074,35.9499999999673,2.04959627882707,1.72042087538391,0.438900537924212,NaN,57.8269250279515,1,NaN,NaN,0,13.4040622535827,1,0.75,-47.1714913134387,35.9499999999673,6.89708220987246,0.840722391817432,-47.5937166531966,-6.43190396980016,14.3091031859338,NaN,15.9235668789954,42.8774908215589,15.9235668789954,17.5297913999776,23.5330474032391,16.5562913907435,42.7758954443267,0.311515151514868,1,1.78353183896553,-38.6010706451013,21.6346055926123,59.6285108765093,14.3701344202428,16415.25,-49.7733064970882,16517.75,-50.8748249342586,-50.8748249342586,-94.5390625000124,1.75,NaN,NaN,16387.25,1838.76499328556,28.6418635641967,4.58594705160155,0.10213412765589,24.7550251841908,186.664593851576,0.729274880531893,0.800923652637964,0.759770313017384,-87.5286598186687,-59.897892468564,-85.9681803821604,NaN,7.70170018295028,818.764993285563,1158.33999328525,854.714993285531,0,NaN,-59.9468404761127,-60.2356762377136,-27.16301473124,-28.713831559134,-25.7325041444468
721688585,H18.03.313.11.06.01.05,P8S4_180718_354_A01,721688570,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,-22.5,0,2019.97998046875,1020,94.7564126688232,85.1556497677698,10.9419250071492,-52.6013976350481,-45.5314691306018,0.749561738861701,94.7564126688232,0.5,1.99999999999818,80.158770001492,-39.5472668214355,1.39999999999873,42.1550150337752,0.72062872474386,0.0999999999999091,-10.6266434832317,-7.15871284203178,69.5321265182603,-35.7202267504905,1.39999999999873,33.8118997677698,0.806956969738459,80.158770001492,-0.132569941916947,-10.6266434832317,105.698337675972,17000.25,1900.06499328551,-39.5472668214355,1.39999999999873,1.79999999999836,0.117647058823529,0.649999999999409,0.166666666666667,17018.25,17009.25,-71.3722791988162,-0.219522533245803,1.29999999999882,42.1550150337752,-117.014094671434,310.122798319628,NaN,NaN,17002.75,163.40456371057,-0.132569941916947,0.499999999999545,0.924999999999159,0.924999999999159,58.782574325401,0.840592003373192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106053772720218,0.085842152994077,0.0658112221514849,0.0044195442536299,10.1999999999907,7.89999999999281,18.5,17.75,0.0027620316766844,0.0036658280268249,7.89999999999281,11.1579935179524,7.15871284203178,3.99928067592058,NaN,71.7461600647379,1,NaN,NaN,0,17.5026622051393,1,0.75,-44.9813540196966,7.89999999999281,12.9051543471713,0.21064210696047,-44.3437833471824,-9.07385856026005,17.9638456069036,NaN,19.0839694656662,31.6455696202819,19.6850393700966,14.8809523809659,24.5098039215909,21.5517241379506,51.2470537207954,0.565217391303834,1,7.15871284203178,-37.6558736669577,25.8874489752395,62.3041217172745,17.8474471814491,17025.25,-52.6013976350481,22966,-60.5389303089387,-52.0933117388617,-102.671864281607,2,NaN,NaN,17005.25,1900.56499328551,42.1550150337752,8.02603412281042,0.152637665898284,-34.5019180324001,122.064612378669,0.71394750386001,0.72062872474386,0.660782634145789,-92.3671795449058,-64.5190087191899,-89.8448198862295,NaN,20.9871964337426,880.564993285507,1127.96499328528,12.8399932862962,0,NaN,-63.6492614495397,-63.5433226421973,-28.2599440695646,-30.9775593215162,-26.3014972440322
811837476,H19.03.302.11.15.01.03,P8S4_190122_353_A01,811837270,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,11.6666666666667,0,1599.97998046875,600,90.4463326420315,88.0398642647828,13.2450698863407,-47.0312390528781,-45.0354232771891,0.708328262554147,90.4463326420315,0.206757852654337,2.15000000000049,77.508700629135,-34.0936070399816,1.45000000000033,43.4150935891534,0.76834645413415,0.200000000000045,-2.59657913752971,-1.22602434829544,74.8878136022174,-33.1021162601665,1.6333333333337,41.7856973420508,0.875505275767967,77.508700629135,-0.0338085261472045,-2.59657913752971,103.691402528372,5128.5,712.889993286233,-34.0936070399816,1.45000000000033,1.85000000000042,0.109391124871001,0.650000000000148,0.26984126984127,5147,5137.25,-64.2501483617181,-0.0986442229795629,1.37500000000031,43.4150935891534,-107.220010185149,266.969233721256,NaN,NaN,5130.75,164.486634357797,-0.20532478328779,0.475000000000108,1.05000000000024,1.05000000000024,75.1034291171462,0.976094772059201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30561240547975,0.502311959163058,0.407594637696589,0.178207424454427,85.3666666666861,65.1000000000148,6.16666666666667,6.16666666666667,0.101913800879681,0.090594820867837,65.1000000000148,0.250808961478057,1.22602434829544,-0.975215386817384,NaN,17.6238305634728,1,NaN,NaN,0,25.910794041544,1,0,-41.8914228166676,65.1000000000148,12.4898241358853,0.0544205424804369,-42.9938105959509,-5.46426329747128,16.7200447884445,NaN,7.72419627749496,14.6702704228383,8.39380129997788,3.93934426963646,13.5266707377766,11.0982984314865,12.3556748302412,16.7303030302521,1,1.22602434829544,9.94794519463264,70.2463209132458,75.4521486495079,11.0005761699038,5154.75,-47.0312390528781,7955.25,-50.439057364322,-46.9624951852861,-66.0729136467019,1,NaN,NaN,5133.25,713.364993286234,43.4150935891534,1.74255433649255,0.0511566084508895,-115.425232300475,97.1049946880496,0.525853114956626,0.76834645413415,0.734652558787351,-53.1110745546519,-60.7964936042086,-53.6277578661839,NaN,7.41753332987872,113.364993286234,460.126662190677,129.606659952904,0,NaN,-60.8271413326671,-60.2983757186132,7.13454886048455,6.8992107127252,6.67061785242923
832614788,H19.03.305.11.10.01.07,P8S4_190305_357_A01,832614721,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,8,0,1599.97998046875,600,89.5369830357518,89.3875530653792,9.60006521837077,-51.1208295843548,-50.853130787808,-0.0187275465466949,89.5369830357518,0.119228336495889,5.10000000000116,73.8536830823104,-35.4375296309134,1.56666666666702,38.416153451397,0.850129866771693,0.0666666666660376,-1.9701006886465,-0.168157516919277,71.8835823936639,-33.6355864591861,1.63333333333306,38.2479959344777,0.952673010152044,73.8536830823104,-0.0268137951805576,-1.9701006886465,99.1370482541225,4783.33333333333,678.373326619559,-35.4375296309134,1.56666666666702,2.00000000000045,0.0701754385961123,0.700000000000159,0.15873015872978,4803.33333333333,4793,-56.8990463572411,-0.0885140608780407,1.50000000000034,38.416153451397,-92.501498741452,258.626153112745,NaN,NaN,4786,147.707366164587,-0.0268137951801813,0.500000000000114,1.06666666666691,1.06666666666691,69.3313483433049,0.724525398523418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.01064256609616,0.177188298024443,0.217588332789636,0.0320940201126796,44.9000000000102,235.099999999901,9.6,9.4,0.00509159888085264,0.00863828184682448,235.099999999901,7.90987417246513,0.168157516919277,11.6125749833188,NaN,12.8628113403995,1,NaN,NaN,0,18.6410127226989,1,0,-44.8996751709486,235.099999999901,15.6832999534414,0.197286835955334,NaN,NaN,NaN,NaN,9.59467182485384,12.4555106786049,8.8314842413183,2.95847965282605,9.46658233185532,8.92264711017782,21.7176174782867,51.9017857142532,1,7.16365251971167,0.7813225960002,61.5550716348752,70.9785478828379,16.2642944706144,4839.33333333333,-51.1208295843548,4859.66666666667,-51.377080283897,-51.377080283897,-71.3337312873203,1,NaN,NaN,4788.33333333333,678.873326619559,38.416153451397,4.76850156406962,0.0905917565164662,-12.3648811551041,69.4621241426021,0.576136873954277,0.850129866771693,0.760756569343698,-58.9139562217204,-60.5696393188887,-58.4479860337332,NaN,8.99616232837625,78.8733266195591,1087.88399597119,313.97332661946,0,NaN,-60.1711044055839,-60.773749038875,1.906061930573,1.57201053823776,2.32576300514179
835572687,H19.03.306.11.12.01.01,P8S4_190311_351_A01,835572569,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,-46,0,1599.97998046875,600,89.9943025189673,83.9189289269,5.48662310776054,-55.4499769327214,-50.7999992370605,1.48746970284019,89.9943025189673,0.290697674418605,6.99999999999417,81.3503271757274,-43.1596844712988,1.37499999999912,34.5443255862459,0.724491377122898,0.200000000000045,-8.2685968350754,-5.24954268583431,73.081730340652,-40.9753223753464,1.50000000000034,32.1064079653056,0.782156201718213,81.3503271757274,-0.101641838725665,-8.2685968350754,95.4809256267279,13422.25,1542.26499328572,-43.1596844712988,1.37499999999912,1.67499999999893,0.1875,0.624999999999602,0.166666666666667,13439,13430.5,-66.2299591436535,-0.21301552795471,1.27499999999918,34.5443255862459,-110.062446340954,277.21986494333,NaN,NaN,13424.25,194.260025143981,-0.281313470980532,0.400000000000091,0.849999999999454,0.849999999999454,67.8559058850855,0.846009403079456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.123965945088839,0.086559411436821,0.0866368909271964,0.00717465487272505,17.2000000000039,15.4000000000035,10.6,10,0.00319582905700839,0.00435196559995167,15.4000000000035,6.44366463434154,5.24954268583431,1.19412194850724,NaN,50.7923608289532,1,NaN,NaN,0,18.2807297940393,1,0.6,-48.3648262497849,15.4000000000035,9.30561413984715,0.164587143135731,-49.8375177261834,-7.21157352531437,12.0617521614453,NaN,10.638297872338,12.98701298701,10.9289617486314,7.72200772201474,11.6279069767415,10.3626943005158,21.6654898368891,0.839583333333171,1,5.24954268583431,-41.2625564018913,19.7867982763174,70.2375632615978,12.5774773448924,13496.25,-55.4499769327214,21261.5,-59.1359026828644,-53.2999906644346,-94.8424774381046,1.2,NaN,NaN,13426.25,1542.66499328571,34.5443255862459,3.2613326938371,0.0822047193616114,-8.59454131579371,93.127376469176,0.849338096239284,0.724491377122898,0.637651263879206,-89.8529939787372,-61.1697514323543,-88.2961058400117,NaN,29.6015684802179,942.664993285715,951.011994628487,24.8399932862135,0,NaN,-60.2173530007562,-61.0493546782087,-28.8834898300882,-28.5551483623332,-27.246751161803
835648767,H19.03.306.11.12.01.05,P8S4_190311_355_A01,835648738,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,-15,0,1549.97998046875,550,84.3912542703486,79.8978027713937,10.5751921038396,-58.8468666004678,-55.7999878034192,0.147965692704588,84.3912542703486,0.250602409638554,10.3999999999994,69.1880142785765,-44.6787829666405,1.84999999999994,25.5443876698809,0.980025774747148,0.233333333332553,-2.78996822922986,-1.4528245029636,66.3980460493467,-44.1293647729226,2.13333333333298,22.2686812764241,1.14545830476579,69.1880142785765,-0.0426248771337216,-2.78996822922986,94.9664463741882,7840.5,984.089993286044,-44.6787829666405,1.84999999999994,2.17499999999987,0.131911217437138,0.874999999999943,0.142857142856764,7862.25,7852,-48.926764057616,-0.14208536366579,1.57499999999987,25.5443876698809,-77.0469727099521,176.523163920019,NaN,NaN,7843.25,118.871785245893,-0.131450533777264,0.633333333333477,1.07499999999993,1.07499999999993,68.0356223124153,1.26505850205384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0764201870072004,-0.0133046457367267,-0.0324818062626837,0.00177749434673696,53.0500000000121,258.833333333197,10.8333333333333,10.6666666666667,0.00117795397409825,0.00262536691794098,258.833333333197,-0.56821644091395,1.4528245029636,-3.03156141581632,NaN,31.9020349736402,1,NaN,NaN,0,21.3641300574419,1,0.166666666666667,-51.6801796504462,258.833333333197,12.3105786884854,0.335946958059616,-54.4624643673347,-11.1530878542945,16.3368588210046,NaN,8.50647428947892,17.6866460787098,8.99469644875269,10.5913928756483,11.9023580354912,9.408264495375,17.3123087644265,2.34036281179496,1,1.51757342140076,-21.8301549900503,47.7310292796534,68.2408282775198,16.1417032210812,7950.5,-58.8468666004678,8069.25,-59.781226408123,-58.0687414693836,-97.1718605493012,1,NaN,NaN,7846.5,984.689993286044,25.5443876698809,4.77509654723139,0.100682797010969,-68.4225869646655,141.974215637709,0.889974642738173,0.980025774747148,0.942027173639493,-87.8588838443955,-70.0121067283597,-84.9762579624736,NaN,21.7021730334453,409.689993286044,705.5266621905,368.773326619422,0,NaN,-69.6577570255753,-69.5611842697037,-18.4243420368471,-16.9913917546934,-15.41507369277
839950125,H19.06.351.11.06.01.02,P8S4_190321_353_A01,839950047,1,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,25,0,1599.97998046875,600,90.5498827642114,86.370633280464,23.2533697834892,-46.7953085930016,-43.9854278476207,0.0375108617671742,90.5498827642114,0.286538308518311,1.80000000000041,79.7281333850879,-35.9735592138781,1.40000000000032,43.7545741712098,0.7102980139428,0.233333333333386,-7.30452247726292,-2.66687567395333,71.3061635662063,-31.6125980566036,1.56666666666702,39.6935655096028,0.878470097665779,79.7281333850879,-0.093123815086148,-7.30452247726292,113.803252547701,4817.75,681.814993286226,-35.9735592138781,1.40000000000032,1.7500000000004,0.219362745098039,0.625000000000142,0.277777777777778,4835.25,4826.5,-70.2677298283328,-0.249119939006601,1.27500000000029,43.7545741712098,-113.774654773547,281.94934335906,NaN,NaN,4820.25,169.409382931967,-0.155431439053136,0.475000000000108,1.00000000000023,1.00000000000023,77.5188444658843,1.04001807057275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.531238612133423,0.89083018371389,0.685968437643655,0.201421783293778,18.3333333333375,14.4333333333366,7.5,7.5,0.0985232015208019,0.100427535910578,14.4333333333366,-2.03135671119036,2.66687567395333,-4.69823238514369,6,33.8148774746882,1.66666666666667,NaN,NaN,0,21.2947758810921,1,0,-39.5495363679879,14.4333333333366,10.4643337727153,0.445997911143756,-45.0041399248969,-5.458707089158,24.8383936809796,-41.1205201542429,11.6080118251722,36.3213328098604,12.0791575696697,4.4671752609602,28.6538308518246,21.4553983819751,18.8083566632238,23.7512740183808,1,2.66687567395333,9.50717381669739,79.6105718896807,76.6916903287012,12.2798403248973,4840.5,-46.7953085930016,10290.25,-53.0765438288201,-46.7145786326284,-77.1479242563153,2,NaN,NaN,4822.5,682.289993286226,43.7545741712098,0.965616680112262,0.0227018989353147,-93.808478405209,41.0923054239566,0.211574610829783,0.7102980139428,0.709531516632258,-56.9376446581108,-71.1943654007207,-55.959544440249,NaN,0.311132184430799,82.2899932862265,527.543328857278,45.2733266195515,0,NaN,-71.2504495783794,-70.1033980729833,15.7791095235267,14.2418435260895,14.1438536327343
